acc_x,acc_y,acc_z
-287,-217,848
-293,-252,886
-299,-292,958
-276,-294,1013
-284,-233,1011
-287,-154,943
-235,-83,841
-225,-62,886
-249,-92,960
-287,-146,1033
-279,-183,992
-262,-167,958
-213,-79,1090
-217,-47,963
-233,-41,923
-199,-56,957
-226,-30,1153
-251,27,1216
-255,79,1137
-268,100,960
-263,127,886
-288,148,844
-312,171,826
-304,205,799
-246,178,780
-217,124,770
-243,98,885
-231,108,901
-211,122,853
-172,140,779
-186,157,830
-237,195,920
-250,247,909
-247,301,844
-218,323,746
-241,316,711
-307,290,763
-389,251,960
-380,226,1175
-331,273,1249
-251,327,1142
-158,310,969
-106,204,912
-114,66,1003
-137,-14,1098
-103,-20,1117
-143,37,1199
-127,130,1260
-71,189,1260
-74,75,821
-86,-94,777
-11,-212,764
-32,-249,741
-73,-252,737
-95,-187,859
-105,-212,904
-49,-276,998
76,-280,1047
150,-207,1111
71,-189,1061
-8,-190,1071
-52,-182,1220
-15,-192,1173
18,-182,1091
43,-170,984
37,-201,894
-6,-250,900
-65,-290,993
-76,-325,1009
-88,-329,956
-94,-312,873
-83,-319,759
-91,-318,715
-140,-352,834
-177,-428,913
-198,-489,1008
-183,-514,996
-176,-512,931
-188,-498,879
-209,-483,857
-235,-505,848
-272,-530,867
-292,-541,884
-288,-535,816
-282,-506,721
-281,-455,676
-290,-425,677
-319,-419,723
-338,-427,775
-336,-412,814
-315,-385,770
-299,-332,761
-294,-268,770
-301,-200,793
-304,-208,739
-310,-251,777
-287,-205,958
-288,-129,1072
-282,-96,1031
-280,-45,1002
-270,-5,1037
-261,23,1042
-229,60,1007
-209,75,1001
-202,84,985
-229,116,1027
-258,160,1066
-254,188,1051
-249,182,1014
-245,173,995
-243,164,972
-221,144,947
-224,117,939
-231,97,965
-237,100,977
-237,149,1008
-231,169,1027
-219,171,1004
-217,155,961
-220,151,942
-217,72,957
-201,-12,945
-181,15,947
-200,-15,922
-165,-64,979
-131,-61,982
-148,-77,932
-142,-83,923
-134,-125,905
-124,-170,953
-116,-213,1010
-96,-232,1001
-109,-206,988
-115,-219,983
-145,-269,930
-132,-289,997
-131,-301,976
-121,-279,955
-137,-236,947
-152,-228,965
-146,-262,961
-137,-281,941
-153,-281,921
-142,-296,901
-124,-281,865
-129,-286,837
-166,-284,906
-188,-292,966
-181,-304,984
-236,-294,1058
-167,-384,994
-213,-382,1036
-198,-398,1012
-212,-376,1014
-232,-407,962
-205,-440,871
-214,-433,879
