acc_x,acc_y,acc_z
-149,136,1047
-214,444,755
-151,685,358
-46,363,342
-12,66,721
36,134,1226
71,73,1752
26,-259,2129
53,-185,1929
125,168,1490
127,383,1410
84,307,1337
7,84,1214
-174,52,677
-327,375,106
-238,647,86
-13,159,483
50,-167,1135
28,-197,1580
46,-492,1966
76,-684,2244
156,-106,1782
107,337,1263
-34,213,1131
-165,2,901
-264,6,244
-233,317,21
-113,382,463
-59,-76,860
-55,-471,1135
-24,-642,1397
43,-646,1811
61,-388,1846
106,-140,1427
46,-77,1277
-81,-137,1184
-197,-49,730
-302,204,240
-250,674,224
-73,352,513
38,-246,1006
26,-494,1522
22,-578,1929
75,-592,2124
155,-279,1793
152,96,1569
48,107,1372
-126,-137,1086
-225,-156,454
-347,189,-27
-242,667,70
-95,203,360
-42,-272,908
-52,-576,1300
25,-934,1749
176,-1038,2464
222,-154,2232
155,234,1426
-107,-71,1205
-330,-300,441
-289,33,-202
-284,457,-359
-124,442,295
-45,70,893
24,-136,1347
74,-404,1712
101,-822,1950
100,-730,2116
120,-78,1613
18,193,1093
-30,20,1009
-133,-230,893
-194,-286,538
-265,145,459
-166,409,419
-16,-35,622
14,-458,1036
19,-701,1396
124,-873,1669
171,-675,1930
209,-283,1543
124,-263,1405
-54,-336,1246
-218,-38,680
-284,429,178
-182,676,117
0,237,497
43,-87,1234
49,-439,1665
71,-837,1882
91,-715,1875
