acc_x,acc_y,acc_z,lr_vel,lr_dir,ud_vel,ud_dir
34,-24,1303,,,,
51,-30,1463,,,,
18,-35,1317,,,,
68,-58,173,,,,
42,-38,896,,,,
42,0,1263,,,,
58,-1,1292,,,,
77,-30,811,,,,
35,-45,1412,,,,
64,-14,1031,,,,
81,-30,1132,,,,
56,-37,1029,,,,
63,-13,1388,,,,
55,-31,1164,,,,
50,4,1314,,,,
78,-53,797,,,,
102,-29,977,,,,
95,3,1199,,,,
108,-37,1330,,,,
95,-39,1181,,,,
78,-26,768,,,,
107,-27,1220,,,,
78,0,1372,,,,
105,-26,721,,,,
84,-20,827,,,,
108,-23,1139,,,,
